worker_id,month,total_days_worked,total_hours_worked
1,Feb,23,161
1,Mar,22,154
1,Apr,24,192
1,May,25,225
2,Feb,22,132
2,Mar,24,216
2,Apr,23,207
2,May,23,207
3,Feb,22,154
3,Mar,24,144
3,Apr,23,138
3,May,22,198
4,Feb,24,216
4,Mar,25,175
4,Apr,21,189
4,May,21,147
5,Feb,26,208
5,Mar,26,208
5,Apr,24,216
5,May,25,175
6,Feb,20,120
6,Mar,25,150
6,Apr,23,161
6,May,25,175
7,Feb,25,200
7,Mar,25,200
7,Apr,24,168
7,May,25,175
8,Feb,22,198
8,Mar,26,182
8,Apr,21,126
8,May,25,200
9,Feb,21,147
9,Mar,25,225
9,Apr,21,126
9,May,24,144
10,Feb,26,208
10,Mar,25,150
10,Apr,24,168
10,May,20,120
11,Feb,22,176
11,Mar,22,176
11,Apr,24,144
11,May,20,160
12,Feb,25,150
12,Mar,22,176
12,Apr,26,234
12,May,21,147
13,Feb,23,138
13,Mar,26,156
13,Apr,25,150
13,May,21,126
14,Feb,20,180
14,Mar,26,234
14,Apr,25,225
14,May,23,161
15,Feb,21,126
15,Mar,24,144
15,Apr,26,182
15,May,26,156
16,Feb,21,126
16,Mar,25,175
16,Apr,22,198
16,May,22,176
17,Feb,23,207
17,Mar,26,156
17,Apr,24,144
17,May,24,168
18,Feb,23,207
18,Mar,24,168
18,Apr,21,126
18,May,23,161
19,Feb,24,144
19,Mar,23,184
19,Apr,22,154
19,May,23,138
20,Feb,20,180
20,Mar,26,182
20,Apr,24,216
20,May,20,140
21,Feb,24,168
21,Mar,24,168
21,Apr,26,182
21,May,21,168
22,Feb,21,168
22,Mar,22,132
22,Apr,20,160
22,May,20,160
23,Feb,24,216
23,Mar,20,160
23,Apr,20,140
23,May,21,189
24,Feb,24,192
24,Mar,20,120
24,Apr,21,126
24,May,20,120
25,Feb,21,147
25,Mar,20,140
25,Apr,22,154
25,May,22,154
26,Feb,24,216
26,Mar,22,176
26,Apr,23,161
26,May,23,207
27,Feb,20,140
27,Mar,26,156
27,Apr,26,208
27,May,21,147
28,Feb,26,182
28,Mar,22,176
28,Apr,21,189
28,May,20,140
29,Feb,23,138
29,Mar,26,234
29,Apr,25,175
29,May,20,160
30,Feb,24,168
30,Mar,24,144
30,Apr,25,150
30,May,26,182
31,Feb,22,132
31,Mar,24,168
31,Apr,24,216
31,May,21,168
32,Feb,24,192
32,Mar,20,120
32,Apr,21,168
32,May,21,168
33,Feb,26,234
33,Mar,24,216
33,Apr,20,180
33,May,21,168
34,Feb,24,144
34,Mar,25,225
34,Apr,20,180
34,May,23,161
35,Feb,26,208
35,Mar,24,144
35,Apr,22,132
35,May,22,198
36,Feb,21,147
36,Mar,20,140
36,Apr,20,140
36,May,26,156
37,Feb,20,140
37,Mar,22,176
37,Apr,24,192
37,May,21,126
38,Feb,20,140
38,Mar,23,138
38,Apr,24,192
38,May,22,198
39,Feb,21,126
39,Mar,26,156
39,Apr,23,207
39,May,21,126
40,Feb,22,154
40,Mar,22,132
40,Apr,26,208
40,May,21,147
41,Feb,26,208
41,Mar,24,144
41,Apr,22,176
41,May,21,168
42,Feb,25,225
42,Mar,22,132
42,Apr,23,184
42,May,21,126
43,Feb,23,138
43,Mar,20,180
43,Apr,20,140
43,May,26,182
44,Feb,23,161
44,Mar,21,168
44,Apr,25,225
44,May,22,154
45,Feb,23,207
45,Mar,20,160
45,Apr,23,138
45,May,25,225
46,Feb,25,175
46,Mar,23,184
46,Apr,22,198
46,May,25,225
47,Feb,22,132
47,Mar,23,138
47,Apr,26,182
47,May,24,192
48,Feb,25,200
48,Mar,26,208
48,Apr,26,156
48,May,22,176
49,Feb,23,184
49,Mar,22,198
49,Apr,21,189
49,May,25,150
50,Feb,21,168
50,Mar,22,154
50,Apr,26,182
50,May,20,140
51,Feb,21,168
51,Mar,26,182
51,Apr,25,225
51,May,21,168
52,Feb,24,168
52,Mar,21,189
52,Apr,23,184
52,May,23,138
53,Feb,25,175
53,Mar,22,132
53,Apr,24,144
53,May,21,168
54,Feb,22,176
54,Mar,22,176
54,Apr,21,168
54,May,23,184
55,Feb,21,126
55,Mar,21,189
55,Apr,20,120
55,May,21,168
56,Feb,22,154
56,Mar,20,180
56,Apr,21,189
56,May,25,175
57,Feb,22,154
57,Mar,20,140
57,Apr,24,168
57,May,20,140
58,Feb,24,216
58,Mar,25,150
58,Apr,20,120
58,May,22,132
59,Feb,24,216
59,Mar,22,176
59,Apr,24,168
59,May,20,160
60,Feb,21,147
60,Mar,26,208
60,Apr,23,161
60,May,22,198
61,Feb,21,147
61,Mar,20,160
61,Apr,26,208
61,May,21,147
62,Feb,23,138
62,Mar,23,207
62,Apr,22,132
62,May,26,182
63,Feb,21,147
63,Mar,20,180
63,Apr,21,126
63,May,20,140
64,Feb,22,198
64,Mar,22,198
64,Apr,24,168
64,May,21,147
65,Feb,20,180
65,Mar,23,207
65,Apr,21,126
65,May,21,189
66,Feb,22,132
66,Mar,22,132
66,Apr,22,176
66,May,26,208
67,Feb,22,198
67,Mar,23,161
67,Apr,24,216
67,May,23,138
68,Feb,26,234
68,Mar,25,225
68,Apr,26,156
68,May,24,168
69,Feb,25,175
69,Mar,25,150
69,Apr,21,189
69,May,26,156
70,Feb,26,182
70,Mar,21,168
70,Apr,20,160
70,May,26,208
71,Feb,26,234
71,Mar,24,168
71,Apr,23,184
71,May,20,120
72,Feb,25,200
72,Mar,23,184
72,Apr,24,216
72,May,20,140
73,Feb,25,175
73,Mar,25,200
73,Apr,22,198
73,May,25,175
74,Feb,20,180
74,Mar,24,192
74,Apr,20,140
74,May,26,234
75,Feb,24,192
75,Mar,22,198
75,Apr,22,154
75,May,23,138
76,Feb,24,168
76,Mar,23,184
76,Apr,22,176
76,May,22,176
77,Feb,25,150
77,Mar,24,216
77,Apr,26,208
77,May,25,150
78,Feb,25,150
78,Mar,21,147
78,Apr,23,184
78,May,25,150
79,Feb,25,150
79,Mar,26,208
79,Apr,26,234
79,May,21,189
80,Feb,26,156
80,Mar,23,138
80,Apr,23,138
80,May,22,132
81,Feb,21,126
81,Mar,25,225
81,Apr,21,126
81,May,25,225
82,Feb,21,168
82,Mar,23,184
82,Apr,22,176
82,May,21,147
83,Feb,26,182
83,Mar,24,144
83,Apr,20,120
83,May,21,126
84,Feb,26,234
84,Mar,26,182
84,Apr,24,192
84,May,21,126
85,Feb,24,168
85,Mar,26,234
85,Apr,22,198
85,May,26,156
86,Feb,24,216
86,Mar,22,176
86,Apr,23,161
86,May,20,180
87,Feb,22,132
87,Mar,20,180
87,Apr,21,147
87,May,23,161
88,Feb,24,168
88,Mar,24,144
88,Apr,21,189
88,May,23,207
89,Feb,25,175
89,Mar,22,154
89,Apr,24,216
89,May,26,208
90,Feb,24,192
90,Mar,21,147
90,Apr,24,144
90,May,25,200
91,Feb,22,132
91,Mar,23,207
91,Apr,23,184
91,May,22,132
92,Feb,25,225
92,Mar,25,200
92,Apr,20,180
92,May,23,207
93,Feb,25,200
93,Mar,23,138
93,Apr,21,147
93,May,24,168
94,Feb,21,189
94,Mar,23,184
94,Apr,25,200
94,May,23,207
95,Feb,22,198
95,Mar,23,161
95,Apr,22,154
95,May,23,138
96,Feb,25,200
96,Mar,24,168
96,Apr,22,176
96,May,26,182
97,Feb,24,168
97,Mar,26,208
97,Apr,25,200
97,May,22,176
98,Feb,23,138
98,Mar,24,168
98,Apr,21,168
98,May,26,234
99,Feb,25,225
99,Mar,25,175
99,Apr,21,147
99,May,22,198
100,Feb,23,161
100,Mar,21,189
100,Apr,20,140
100,May,21,126
101,Feb,26,156
101,Mar,20,160
101,Apr,23,207
101,May,26,208
102,Feb,26,234
102,Mar,20,160
102,Apr,26,234
102,May,22,176
103,Feb,20,120
103,Mar,25,225
103,Apr,20,180
103,May,20,160
104,Feb,20,140
104,Mar,20,180
104,Apr,24,216
104,May,23,161
105,Feb,21,126
105,Mar,23,161
105,Apr,21,126
105,May,21,126
106,Feb,24,144
106,Mar,22,176
106,Apr,21,168
106,May,26,156
107,Feb,24,192
107,Mar,20,180
107,Apr,23,207
107,May,25,150
108,Feb,20,120
108,Mar,21,147
108,Apr,23,161
108,May,25,225
109,Feb,20,160
109,Mar,25,150
109,Apr,25,225
109,May,20,120
110,Feb,26,156
110,Mar,23,184
110,Apr,26,234
110,May,26,208
111,Feb,26,208
111,Mar,23,138
111,Apr,20,120
111,May,25,150
112,Feb,21,147
112,Mar,22,154
112,Apr,22,198
112,May,26,234
113,Feb,23,161
113,Mar,25,150
113,Apr,26,208
113,May,23,138
114,Feb,22,198
114,Mar,22,132
114,Apr,24,144
114,May,22,154
115,Feb,20,180
115,Mar,25,200
115,Apr,22,176
115,May,25,200
116,Feb,25,175
116,Mar,24,144
116,Apr,21,147
116,May,20,140
117,Feb,20,180
117,Mar,20,160
117,Apr,21,189
117,May,25,150
118,Feb,26,234
118,Mar,20,140
118,Apr,20,180
118,May,21,147
119,Feb,26,208
119,Mar,22,176
119,Apr,21,147
119,May,25,200
120,Feb,23,184
120,Mar,24,216
120,Apr,22,132
120,May,21,168
121,Feb,23,161
121,Mar,26,182
121,Apr,24,168
121,May,23,138
122,Feb,24,192
122,Mar,21,189
122,Apr,25,200
122,May,23,184
123,Feb,23,161
123,Mar,24,144
123,Apr,20,160
123,May,26,208
124,Feb,21,147
124,Mar,25,175
124,Apr,21,189
124,May,22,176
125,Feb,22,132
125,Mar,21,189
125,Apr,25,150
125,May,24,168
126,Feb,23,138
126,Mar,21,147
126,Apr,24,216
126,May,21,168
127,Feb,26,208
127,Mar,26,234
127,Apr,24,216
127,May,24,216
128,Feb,21,189
128,Mar,25,200
128,Apr,26,234
128,May,20,180
129,Feb,25,200
129,Mar,23,161
129,Apr,24,216
129,May,25,200
130,Feb,20,160
130,Mar,24,168
130,Apr,20,160
130,May,22,154
131,Feb,23,138
131,Mar,22,132
131,Apr,22,198
131,May,20,140
132,Feb,22,198
132,Mar,21,168
132,Apr,26,156
132,May,20,160
133,Feb,20,160
133,Mar,21,126
133,Apr,24,216
133,May,20,120
134,Feb,21,168
134,Mar,21,147
134,Apr,24,192
134,May,22,132
135,Feb,22,176
135,Mar,21,126
135,Apr,23,207
135,May,26,234
136,Feb,26,234
136,Mar,21,168
136,Apr,25,200
136,May,23,138
137,Feb,22,154
137,Mar,25,200
137,Apr,21,168
137,May,24,216
138,Feb,23,138
138,Mar,23,161
138,Apr,24,168
138,May,26,156
139,Feb,24,168
139,Mar,21,189
139,Apr,21,189
139,May,23,207
140,Feb,23,161
140,Mar,22,176
140,Apr,20,160
140,May,22,132
141,Feb,25,200
141,Mar,22,198
141,Apr,24,192
141,May,22,198
142,Feb,20,140
142,Mar,20,120
142,Apr,25,150
142,May,22,198
143,Feb,23,138
143,Mar,23,161
143,Apr,21,126
143,May,20,180
144,Feb,20,140
144,Mar,21,168
144,Apr,25,225
144,May,21,168
145,Feb,21,147
145,Mar,20,120
145,Apr,20,140
145,May,21,126
146,Feb,25,175
146,Mar,25,175
146,Apr,26,234
146,May,24,192
147,Feb,26,156
147,Mar,25,175
147,Apr,22,176
147,May,22,154
148,Feb,21,147
148,Mar,21,189
148,Apr,22,154
148,May,22,198
149,Feb,21,189
149,Mar,22,154
149,Apr,25,200
149,May,22,154
150,Feb,21,126
150,Mar,22,132
150,Apr,20,180
150,May,24,192
151,Feb,26,208
151,Mar,22,176
151,Apr,23,138
151,May,25,200
152,Feb,26,234
152,Mar,24,192
152,Apr,23,207
152,May,21,189
153,Feb,26,156
153,Mar,25,200
153,Apr,21,168
153,May,26,234
154,Feb,24,192
154,Mar,21,168
154,Apr,24,216
154,May,20,180
155,Feb,22,132
155,Mar,23,138
155,Apr,24,192
155,May,22,176
156,Feb,25,175
156,Mar,22,132
156,Apr,23,184
156,May,24,216
157,Feb,23,138
157,Mar,21,147
157,Apr,24,216
157,May,21,189
158,Feb,26,234
158,Mar,22,132
158,Apr,24,192
158,May,21,168
159,Feb,26,156
159,Mar,23,138
159,Apr,23,184
159,May,24,192
160,Feb,21,147
160,Mar,26,156
160,Apr,22,198
160,May,23,161
161,Feb,25,150
161,Mar,22,198
161,Apr,20,160
161,May,24,144
162,Feb,23,161
162,Mar,24,168
162,Apr,22,154
162,May,21,147
163,Feb,21,147
163,Mar,24,192
163,Apr,20,180
163,May,23,138
164,Feb,20,180
164,Mar,20,180
164,Apr,26,156
164,May,20,160
165,Feb,20,160
165,Mar,25,175
165,Apr,22,132
165,May,23,207
166,Feb,22,132
166,Mar,21,147
166,Apr,24,192
166,May,25,225
167,Feb,26,234
167,Mar,26,208
167,Apr,21,189
167,May,20,180
168,Feb,23,207
168,Mar,20,160
168,Apr,26,234
168,May,22,132
169,Feb,25,225
169,Mar,23,161
169,Apr,26,234
169,May,20,120
170,Feb,25,150
170,Mar,23,138
170,Apr,22,132
170,May,25,150
171,Feb,24,168
171,Mar,20,140
171,Apr,22,132
171,May,23,161
172,Feb,21,147
172,Mar,26,182
172,Apr,23,184
172,May,21,168
173,Feb,24,168
173,Mar,20,140
173,Apr,22,132
173,May,26,182
174,Feb,23,207
174,Mar,26,208
174,Apr,25,175
174,May,23,138
175,Feb,20,140
175,Mar,24,168
175,Apr,24,192
175,May,25,175
176,Feb,22,198
176,Mar,24,144
176,Apr,20,160
176,May,25,200
177,Feb,20,160
177,Mar,20,160
177,Apr,26,234
177,May,21,189
178,Feb,24,192
178,Mar,23,138
178,Apr,23,161
178,May,21,147
179,Feb,25,175
179,Mar,25,200
179,Apr,25,225
179,May,26,156
180,Feb,22,154
180,Mar,20,160
180,Apr,23,138
180,May,23,207
181,Feb,25,200
181,Mar,21,189
181,Apr,23,184
181,May,22,198
182,Feb,20,140
182,Mar,23,138
182,Apr,20,140
182,May,24,144
183,Feb,23,161
183,Mar,24,216
183,Apr,22,176
183,May,25,225
184,Feb,23,138
184,Mar,22,198
184,Apr,24,192
184,May,20,180
185,Feb,20,120
185,Mar,20,180
185,Apr,22,176
185,May,25,200
186,Feb,26,156
186,Mar,26,234
186,Apr,23,207
186,May,24,216
187,Feb,23,184
187,Mar,22,198
187,Apr,26,156
187,May,25,225
188,Feb,21,126
188,Mar,26,156
188,Apr,26,156
188,May,24,144
189,Feb,24,144
189,Mar,21,189
189,Apr,20,160
189,May,21,189
190,Feb,20,180
190,Mar,25,150
190,Apr,25,150
190,May,25,200
191,Feb,20,120
191,Mar,22,198
191,Apr,23,184
191,May,24,168
192,Feb,21,168
192,Mar,24,168
192,Apr,24,216
192,May,23,207
193,Feb,22,132
193,Mar,26,234
193,Apr,21,168
193,May,20,160
194,Feb,25,225
194,Mar,25,175
194,Apr,20,180
194,May,22,198
195,Feb,21,126
195,Mar,25,150
195,Apr,22,198
195,May,23,138
196,Feb,21,168
196,Mar,20,160
196,Apr,23,161
196,May,25,150
